Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-1.75167263381515E-05,-1.75140606954727E-05,0.072097390082297,0,0,0,1.36547736598414,0.00450153846254233,3.92076252526726E-07,-2.29441819884948E-07,0.0044211894891578,-2.05587968659799E-07,0.00169489252910342,0,0,0,0,0,0,package://homeplus_urdf/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/base.STL,,Base-2,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Frame,0.215954522663144,0.0813698130351389,-0.0117485983080212,0,0,0,2.00952337404394,0.0247324495241433,2.44541886696475E-06,-0.00082022949980453,0.0248976286324805,2.53805358051017E-10,0.00354698269098377,0,0,0,0,0,0,package://homeplus_urdf/meshes/Frame.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/Frame.STL,,Frame-1,JointFrame_cs,JointFrame_axis,JointFrame,prismatic,-0.18,-0.08398,0.283,0,0,0,base,0,0,-1,1,1,-0.085,0,,,,,,,,
Telescope,0.000771427300165321,0.000443725670664308,-0.00413189517313362,0,0,0,0.252043575649992,0.00285645012689279,8.95668347863059E-11,-1.62782373369034E-09,0.00286169418630892,9.57979385379475E-08,3.17911789824136E-05,0,0,0,0,0,0,package://homeplus_urdf/meshes/Telescope.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/Telescope.STL,,Telescope-1,JointTelescope_cs,JointTelescope_axis,JointTelescope,prismatic,0.285,0.08398,0.477,0,0,0,Frame,0,0,1,1,1,-0.1,0.115,,,,,,,,
Arm1,0.138445481330348,0.0255755283941279,-0.296895572106454,0,0,0,0.142552966932564,0.00053905217660051,4.05165445003212E-08,0.000232394610334317,0.000670896448674744,-8.7145616415552E-08,0.000149043725675897,0,0,0,0,0,0,package://homeplus_urdf/meshes/Arm1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/Arm1.STL,,Arm1-1,JointArm1_cs,JointArm1_axis,JointArm1,revolute,0,0.027951,0.19359,0,0,0,Telescope,0,1,0,1,1,-4.8,0.436,,,,,,,,
Arm2,0.136919387096544,-0.00822619101513836,-0.296142223421577,0,0,0,0.116259676580817,0.000405645763867207,1.4290640451578E-09,0.000169001303235722,0.000506000772291409,5.46109906064798E-10,0.000122278807042688,0,0,0,0,0,0,package://homeplus_urdf/meshes/Arm2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/Arm2.STL,,Arm2-1,JointArm2_cs,JointArm2_axis,JointArm2,revolute,0.1879,0.0665,-0.40296,0,0,0,Arm1,0,1,0,1,1,-2.967,2.269,,,,,,,,
Wrist,0.00486689090655895,0.0086294110305698,-0.010646957134158,0,0,0,0.0363561056351058,6.86066517067869E-06,8.7303441958566E-08,-1.61352457203334E-06,6.65835103821053E-06,-8.2990106155871E-08,9.56944265758206E-06,0,0,0,0,0,0,package://homeplus_urdf/meshes/Wrist.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/Wrist.STL,,Wrist-1,JointWrist_cs,JointWrist_axis,JointWrist,revolute,0.16059,-0.0175,-0.40102,0,0,0,Arm2,-0.42262,0,0.90631,1,1,0,5.236,,,,,,,,
Hand,0.0461827648420242,-0.0234271158593572,0.0123746345436904,0,0,0,0.0151490486204883,7.63415645331232E-06,-6.16449886765789E-19,-2.75115037240069E-07,6.17317508547605E-06,5.11580016362791E-20,8.5871828981614E-06,0,0,0,0,0,0,package://homeplus_urdf/meshes/Hand.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/Hand.STL,,Hand-1,JointHand_cs,JointHand_axis,JointHand,revolute,-0.0026339,0.035169,-0.01502,0,0,0,Wrist,0,1,0,1,1,0,2.967,,,,,,,,
FingerL,0.0499300334087607,0.00524488042842705,-0.00732681147823347,0,0,0,0.025246070206814,5.2913496709592E-06,-5.91936220250008E-08,-1.64467859220186E-06,1.51531003969714E-05,-1.58608832190447E-08,1.09886834385705E-05,0,0,0,0,0,0,package://homeplus_urdf/meshes/FingerL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/FingerL.STL,,Finger-1,JointFingerL_cs,JointFingerL_axis,JointFingerL,revolute,0.07403,-0.0115,0.040542,0,0,0,Hand,-0.25882,0,0.96593,1,1,0,1.396,,,,,,,,
FingerR,0.0499300334087568,-0.00524488042847207,-0.00732681147823364,0,0,0,0.025246070206814,5.29134967095932E-06,5.91936220334206E-08,-1.64467859220184E-06,1.51531003969713E-05,1.58608832206394E-08,1.09886834385705E-05,0,0,0,0,0,0,package://homeplus_urdf/meshes/FingerR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/FingerR.STL,,Finger-2,JointFingerR_cs,JointFingerR_axis,JointFingerR,revolute,0.07403,-0.0365,0.040542,0,0,0,Hand,-0.25882,0,0.96593,1,1,-1.396,0,,,,,,,,
WheelFL,-0.00221199790886903,-0.00203064277825026,-2.08166817117217E-17,0,0,0,0.024229926039893,1.19080621671214E-05,3.92089420362736E-06,-5.75732396144862E-21,1.19080621671214E-05,-4.47858125197631E-21,7.98716796349408E-06,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelFL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelFL.STL,,OmniWheel76mmOD-2,WheelFL_cs,WheelFL_axis,JointWheelFL,continuous,0.19317,0.19299,-0.033,0,0,0,base,0.70711,0.70711,0,1,1,,,,,,,,,,
WheelFR,-0.00212132034355965,0.00212132034355961,0,0,0,0,0.0242299260398931,1.19080621671216E-05,-3.92089420362739E-06,1.62885378587787E-21,1.19080621671215E-05,-1.62885378587786E-21,7.98716796349414E-06,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelFR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelFR.STL,,OmniWheel76mmOD-1,WheelFR_cs,WheelFR_axis,JointWheelFR,continuous,0.19308,-0.19308,-0.033,0,0,0,base,-0.70711,0.70711,0,1,1,,,,,,,,,,
WheelBL,0.00212132034355966,-0.00212132034355965,-6.93889390390723E-18,0,0,0,0.0242299260398929,1.19080621671214E-05,-3.92089420362736E-06,-6.89559011753301E-21,1.19080621671215E-05,5.66640417014397E-21,7.98716796349408E-06,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelBL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelBL.STL,,OmniWheel76mmOD-3,WheelBL_cs,WheelBL_axis,JointWheelBL,continuous,-0.19308,0.19308,-0.033,0,0,0,base,-0.70711,0.70711,0,1,1,,,,,,,,,,
WheelBR,0.00212132034355966,0.00212132034355961,0,0,0,0,0.0242299260398931,1.19080621671215E-05,3.92089420362738E-06,-1.37844200497226E-22,1.19080621671215E-05,-1.37844200497228E-22,7.98716796349412E-06,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelBR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://homeplus_urdf/meshes/WheelBR.STL,,OmniWheel76mmOD-4,WheelBR_cs,WheelBR_axis,JointWheelBR,continuous,-0.19308,-0.19308,-0.033,0,0,0,base,0.70711,0.70711,0,1,1,,,,,,,,,,
